PAST,say,said,said
SUSPECT,wear,weared,wore
PAST,lose,lost,lost
PAST,lose,lost,lost
PAST,lose,lost,lost
PAST,lose,lost,lost
PAST,lose,lost,lost
PAST,break,broke,broke
PAST,see,saw,saw
SUSPECT,hang,hanged,hung
SUSPECT,break,broked,broke
PAST,break,broke,broke
PAST,break,broke,broke
PAST,break,broke,broke
