PAST,stick,stuck,stuck
PAST,break,broke,broke
PAST,fall,fell,fell
PAST,fall,fell,fell
PAST,fall,fell,fell
PAST,fall,fell,fell
PAST,fall,fell,fell
PAST,fall,fell,fell
PAST,fall,fell,fell
PAST,fall,fell,fell
PAST,fall,fell,fell
PAST,fall,fell,fell
PAST,break,broke,broke
PAST,break,broke,broke
PAST,fall,fell,fell
PAST,lose,lost,lost
PAST,lose,lost,lost
