PAST,play,played,played
PAST,kiss,kissed,kissed
PAST,kiss,kissed,kissed
PAST,kiss,kissed,kissed
PAST,kiss,kissed,kissed
PAST,kiss,kissed,kissed
PAST,close,closed,closed
PAST,fasten,fastened,fastened
PAST,hug,hugged,hugged
PAST,crack,cracked,cracked
PAST,crack,cracked,cracked
PAST,crack,cracked,cracked
