PAST,open,opened,opened
PAST,need,needed,needed
SUSPECT,need,neededed,needed
PAST,need,needed,needed
PAST,lock,locked,locked
PAST,close,closed,closed
PAST,lock,locked,locked
PAST,close,closed,closed
PAST,lock,locked,locked
PAST,close,closed,closed
PAST,lock,locked,locked
PAST,close,closed,closed
PAST,like,liked,liked
PAST,help,helped,helped
