PAST,open,opened,opened
PAST,need,needed,needed
SUSPECT,need,neededed,n
PAST,need,needed,needed
PAST,lock,locked,locked
PAST,close,closed,closed
PAST,lock,locked,locked
PAST,close,closed,closed
PAST,lock,locked,locked
PAST,close,closed,closed
PAST,lock,locked,locked
PAST,like,liked,liked
PAST,help,helped,helped
