TENSE,ROOT,FORM,NAME_AND_AUTHOR,AGE,GENDER,AUTHOR,PATH,REALPAST,FREQUENCY
PAST,say,said,abekuczaj,2.89356605065024,male,kuczaj,"scripts,Kuczaj,abe050.cha.txt",said,56531
PAST,say,said,abekuczaj,2.89356605065024,male,kuczaj,"scripts,Kuczaj,abe050.cha.txt",said,56531
PAST,find,found,abekuczaj,2.89356605065024,male,kuczaj,"scripts,Kuczaj,abe050.cha.txt",found,20196
PAST,see,saw,abekuczaj,2.89356605065024,male,kuczaj,"scripts,Kuczaj,abe050.cha.txt",saw,20527
PAST,say,said,abekuczaj,2.89356605065024,male,kuczaj,"scripts,Kuczaj,abe050.cha.txt",said,56531
PAST,say,said,abekuczaj,2.89356605065024,male,kuczaj,"scripts,Kuczaj,abe050.cha.txt",said,56531
PAST,say,said,abekuczaj,2.9072553045859,male,kuczaj,"scripts,Kuczaj,abe051.cha.txt",said,56531
PAST,find,found,abekuczaj,2.9072553045859,male,kuczaj,"scripts,Kuczaj,abe051.cha.txt",found,20196
PAST,see,saw,abekuczaj,2.9072553045859,male,kuczaj,"scripts,Kuczaj,abe051.cha.txt",saw,20527
PAST,break,broke,abekuczaj,2.9154688569473,male,kuczaj,"scripts,Kuczaj,abe052.cha.txt",broke,5355
PAST,tell,told,abekuczaj,2.9154688569473,male,kuczaj,"scripts,Kuczaj,abe052.cha.txt",told,35679
PAST,steal,stole,abekuczaj,2.9154688569473,male,kuczaj,"scripts,Kuczaj,abe052.cha.txt",stole,2711
PAST,say,said,abekuczaj,2.9154688569473,male,kuczaj,"scripts,Kuczaj,abe052.cha.txt",said,56531
PAST,make,made,abekuczaj,2.9154688569473,male,kuczaj,"scripts,Kuczaj,abe052.cha.txt",made,28626
PAST,tell,told,abekuczaj,2.9154688569473,male,kuczaj,"scripts,Kuczaj,abe052.cha.txt",told,35679
PAST,make,made,abekuczaj,2.9154688569473,male,kuczaj,"scripts,Kuczaj,abe052.cha.txt",made,28626
PAST,tell,told,abekuczaj,2.92214236824093,male,kuczaj,"scripts,Kuczaj,abe053.cha.txt",told,35679
PAST,tell,told,abekuczaj,2.92214236824093,male,kuczaj,"scripts,Kuczaj,abe053.cha.txt",told,35679
PAST,eat,ate,abekuczaj,2.92214236824093,male,kuczaj,"scripts,Kuczaj,abe053.cha.txt",ate,1722
SUSPECT,say,sayed,abekuczaj,2.92214236824093,male,kuczaj,"scripts,Kuczaj,abe053.cha.txt",said,56531
PAST,eat,ate,abekuczaj,2.92214236824093,male,kuczaj,"scripts,Kuczaj,abe053.cha.txt",ate,1722
PAST,say,said,abekuczaj,2.92214236824093,male,kuczaj,"scripts,Kuczaj,abe053.cha.txt",said,56531
SUSPECT,say,sayed,abekuczaj,2.92214236824093,male,kuczaj,"scripts,Kuczaj,abe053.cha.txt",said,56531
PAST,say,said,abekuczaj,2.92214236824093,male,kuczaj,"scripts,Kuczaj,abe053.cha.txt",said,56531
SUSPECT,tell,telled,abekuczaj,2.92214236824093,male,kuczaj,"scripts,Kuczaj,abe053.cha.txt",told,35679
PAST,think,thought,abekuczaj,2.93309377138946,male,kuczaj,"scripts,Kuczaj,abe054.cha.txt",thought,41232
PAST,say,said,abekuczaj,2.93309377138946,male,kuczaj,"scripts,Kuczaj,abe054.cha.txt",said,56531
PAST,say,said,abekuczaj,2.93309377138946,male,kuczaj,"scripts,Kuczaj,abe054.cha.txt",said,56531
SUSPECT,fall,falled,abekuczaj,2.94404517453799,male,kuczaj,"scripts,Kuczaj,abe055.cha.txt",fell,3723
SUSPECT,keep,keeped,abekuczaj,2.94404517453799,male,kuczaj,"scripts,Kuczaj,abe055.cha.txt",kept,4559
SUSPECT,fall,falled,abekuczaj,2.94404517453799,male,kuczaj,"scripts,Kuczaj,abe055.cha.txt",fell,3723
SUSPECT,see,sawed,abekuczaj,2.94404517453799,male,kuczaj,"scripts,Kuczaj,abe055.cha.txt",saw,20527
PAST,see,saw,abekuczaj,2.94404517453799,male,kuczaj,"scripts,Kuczaj,abe055.cha.txt",saw,20527
SUSPECT,fall,falled,abekuczaj,2.94404517453799,male,kuczaj,"scripts,Kuczaj,abe055.cha.txt",fell,3723
SUSPECT,fall,falled,abekuczaj,2.94404517453799,male,kuczaj,"scripts,Kuczaj,abe055.cha.txt",fell,3723
SUSPECT,fall,falled,abekuczaj,2.94404517453799,male,kuczaj,"scripts,Kuczaj,abe055.cha.txt",fell,3723
PAST,say,said,abekuczaj,2.94404517453799,male,kuczaj,"scripts,Kuczaj,abe055.cha.txt",said,56531
PAST,say,said,abekuczaj,2.94404517453799,male,kuczaj,"scripts,Kuczaj,abe055.cha.txt",said,56531
PAST,say,said,abekuczaj,2.94404517453799,male,kuczaj,"scripts,Kuczaj,abe055.cha.txt",said,56531
PAST,say,said,abekuczaj,2.94404517453799,male,kuczaj,"scripts,Kuczaj,abe055.cha.txt",said,56531
PAST,say,said,abekuczaj,2.94404517453799,male,kuczaj,"scripts,Kuczaj,abe055.cha.txt",said,56531
PAST,give,gave,abekuczaj,2.94404517453799,male,kuczaj,"scripts,Kuczaj,abe055.cha.txt",gave,12428
PAST,say,said,abekuczaj,2.94404517453799,male,kuczaj,"scripts,Kuczaj,abe055.cha.txt",said,56531
PAST,say,said,abekuczaj,2.94404517453799,male,kuczaj,"scripts,Kuczaj,abe055.cha.txt",said,56531
PAST,say,said,abekuczaj,2.94404517453799,male,kuczaj,"scripts,Kuczaj,abe055.cha.txt",said,56531
PAST,say,said,abekuczaj,2.94404517453799,male,kuczaj,"scripts,Kuczaj,abe055.cha.txt",said,56531
PAST,say,said,abekuczaj,2.94404517453799,male,kuczaj,"scripts,Kuczaj,abe055.cha.txt",said,56531
PAST,say,said,abekuczaj,2.94404517453799,male,kuczaj,"scripts,Kuczaj,abe055.cha.txt",said,56531
PAST,see,saw,abekuczaj,2.94404517453799,male,kuczaj,"scripts,Kuczaj,abe055.cha.txt",saw,20527
PAST,say,said,abekuczaj,2.94404517453799,male,kuczaj,"scripts,Kuczaj,abe055.cha.txt",said,56531
PAST,say,said,abekuczaj,2.94404517453799,male,kuczaj,"scripts,Kuczaj,abe055.cha.txt",said,56531
PAST,make,made,abekuczaj,2.95225872689938,male,kuczaj,"scripts,Kuczaj,abe056.cha.txt",made,28626
SUSPECT,think,thoughted,abekuczaj,2.95225872689938,male,kuczaj,"scripts,Kuczaj,abe056.cha.txt",thought,41232
PAST,think,thought,abekuczaj,2.95225872689938,male,kuczaj,"scripts,Kuczaj,abe056.cha.txt",thought,41232
SUSPECT,think,thoughted,abekuczaj,2.95225872689938,male,kuczaj,"scripts,Kuczaj,abe056.cha.txt",thought,41232
PAST,think,thought,abekuczaj,2.95225872689938,male,kuczaj,"scripts,Kuczaj,abe056.cha.txt",thought,41232
SUSPECT,blow,blowed,abekuczaj,2.95225872689938,male,kuczaj,"scripts,Kuczaj,abe056.cha.txt",blew,1610
SUSPECT,fall,falled,abekuczaj,2.95225872689938,male,kuczaj,"scripts,Kuczaj,abe056.cha.txt",fell,3723
PAST,find,found,abekuczaj,2.95225872689938,male,kuczaj,"scripts,Kuczaj,abe056.cha.txt",found,20196
SUSPECT,blow,blowed,abekuczaj,2.95225872689938,male,kuczaj,"scripts,Kuczaj,abe056.cha.txt",blew,1610
SUSPECT,shoot,shooted,abekuczaj,2.95225872689938,male,kuczaj,"scripts,Kuczaj,abe056.cha.txt",shot,11599
SUSPECT,blow,blowed,abekuczaj,2.95225872689938,male,kuczaj,"scripts,Kuczaj,abe056.cha.txt",blew,1610
PAST,tell,told,abekuczaj,2.95225872689938,male,kuczaj,"scripts,Kuczaj,abe056.cha.txt",told,35679
PAST,say,said,abekuczaj,2.95225872689938,male,kuczaj,"scripts,Kuczaj,abe056.cha.txt",said,56531
PAST,say,said,abekuczaj,2.95225872689938,male,kuczaj,"scripts,Kuczaj,abe056.cha.txt",said,56531
PAST,say,said,abekuczaj,2.95225872689938,male,kuczaj,"scripts,Kuczaj,abe056.cha.txt",said,56531
SUSPECT,fall,falled,abekuczaj,2.95225872689938,male,kuczaj,"scripts,Kuczaj,abe056.cha.txt",fell,3723
PAST,tell,told,abekuczaj,2.95225872689938,male,kuczaj,"scripts,Kuczaj,abe056.cha.txt",told,35679
PAST,write,wrote,abekuczaj,2.95225872689938,male,kuczaj,"scripts,Kuczaj,abe056.cha.txt",wrote,3629
PAST,write,wrote,abekuczaj,2.95225872689938,male,kuczaj,"scripts,Kuczaj,abe056.cha.txt",wrote,3629
PAST,make,made,abekuczaj,2.95225872689938,male,kuczaj,"scripts,Kuczaj,abe056.cha.txt",made,28626
PAST,say,said,abekuczaj,2.96594798083504,male,kuczaj,"scripts,Kuczaj,abe057.cha.txt",said,56531
PAST,say,said,abekuczaj,2.96594798083504,male,kuczaj,"scripts,Kuczaj,abe057.cha.txt",said,56531
PAST,find,found,abekuczaj,2.96594798083504,male,kuczaj,"scripts,Kuczaj,abe057.cha.txt",found,20196
PAST,say,said,abekuczaj,2.96594798083504,male,kuczaj,"scripts,Kuczaj,abe057.cha.txt",said,56531
PAST,break,broke,abekuczaj,2.96594798083504,male,kuczaj,"scripts,Kuczaj,abe057.cha.txt",broke,5355
PAST,say,said,abekuczaj,2.97416153319644,male,kuczaj,"scripts,Kuczaj,abe058.cha.txt",said,56531
PAST,say,said,abekuczaj,2.97416153319644,male,kuczaj,"scripts,Kuczaj,abe058.cha.txt",said,56531
PAST,see,saw,abekuczaj,2.97416153319644,male,kuczaj,"scripts,Kuczaj,abe058.cha.txt",saw,20527
PAST,say,said,abekuczaj,2.97416153319644,male,kuczaj,"scripts,Kuczaj,abe058.cha.txt",said,56531
PAST,think,thought,abekuczaj,2.97416153319644,male,kuczaj,"scripts,Kuczaj,abe058.cha.txt",thought,41232
PAST,stick,stuck,abekuczaj,2.97416153319644,male,kuczaj,"scripts,Kuczaj,abe058.cha.txt",stuck,3399
SUSPECT,fall,falled,abekuczaj,2.97416153319644,male,kuczaj,"scripts,Kuczaj,abe058.cha.txt",fell,3723
PAST,say,said,abekuczaj,2.97416153319644,male,kuczaj,"scripts,Kuczaj,abe058.cha.txt",said,56531
SUSPECT,grow,growed,abekuczaj,2.97416153319644,male,kuczaj,"scripts,Kuczaj,abe058.cha.txt",grew,1493
PAST,make,made,abekuczaj,2.98511293634497,male,kuczaj,"scripts,Kuczaj,abe059.cha.txt",made,28626
SUSPECT,break,broked,abekuczaj,2.98511293634497,male,kuczaj,"scripts,Kuczaj,abe059.cha.txt",broke,5355
PAST,find,found,abekuczaj,2.98511293634497,male,kuczaj,"scripts,Kuczaj,abe059.cha.txt",found,20196
SUSPECT,hang,hanged,abekuczaj,2.98511293634497,male,kuczaj,"scripts,Kuczaj,abe059.cha.txt",hung,1436
SUSPECT,eat,eated,abekuczaj,2.98511293634497,male,kuczaj,"scripts,Kuczaj,abe059.cha.txt",ate,1722
SUSPECT,eat,eated,abekuczaj,2.98511293634497,male,kuczaj,"scripts,Kuczaj,abe059.cha.txt",ate,1722
PAST,find,found,abekuczaj,2.98511293634497,male,kuczaj,"scripts,Kuczaj,abe059.cha.txt",found,20196
PAST,say,said,abekuczaj,2.98511293634497,male,kuczaj,"scripts,Kuczaj,abe059.cha.txt",said,56531
SUSPECT,sleep,sleeped,abekuczaj,2.99880219028063,male,kuczaj,"scripts,Kuczaj,abe060.cha.txt",slept,1810
PAST,say,said,abekuczaj,2.99880219028063,male,kuczaj,"scripts,Kuczaj,abe060.cha.txt",said,56531
PAST,say,said,abekuczaj,2.99880219028063,male,kuczaj,"scripts,Kuczaj,abe060.cha.txt",said,56531
PAST,lose,lost,abekuczaj,2.99880219028063,male,kuczaj,"scripts,Kuczaj,abe060.cha.txt",lost,13974
PAST,make,made,abekuczaj,2.99880219028063,male,kuczaj,"scripts,Kuczaj,abe060.cha.txt",made,28626
SUSPECT,hold,holded,abekuczaj,2.99880219028063,male,kuczaj,"scripts,Kuczaj,abe060.cha.txt",held,2165
PAST,make,made,abekuczaj,2.99880219028063,male,kuczaj,"scripts,Kuczaj,abe060.cha.txt",made,28626
SUSPECT,stand,standed,abekuczaj,2.99880219028063,male,kuczaj,"scripts,Kuczaj,abe060.cha.txt",stood,1315
PAST,fall,fell,abekuczaj,2.99880219028063,male,kuczaj,"scripts,Kuczaj,abe060.cha.txt",fell,3723
SUSPECT,fall,falled,abekuczaj,2.3990417522245,male,kuczaj,"scripts,Kuczaj,abe001.cha.txt",fell,3723
SUSPECT,fall,falled,abekuczaj,2.3990417522245,male,kuczaj,"scripts,Kuczaj,abe001.cha.txt",fell,3723
PAST,see,saw,abekuczaj,2.43583162217659,male,kuczaj,"scripts,Kuczaj,abe003.cha.txt",saw,20527
PAST,see,saw,abekuczaj,2.43583162217659,male,kuczaj,"scripts,Kuczaj,abe003.cha.txt",saw,20527
PAST,see,saw,abekuczaj,2.43583162217659,male,kuczaj,"scripts,Kuczaj,abe003.cha.txt",saw,20527
PAST,make,made,abekuczaj,2.44404517453799,male,kuczaj,"scripts,Kuczaj,abe004.cha.txt",made,28626
PAST,see,saw,abekuczaj,2.47689938398357,male,kuczaj,"scripts,Kuczaj,abe008.cha.txt",saw,20527
PAST,fall,fell,abekuczaj,2.47689938398357,male,kuczaj,"scripts,Kuczaj,abe008.cha.txt",fell,3723
PAST,fall,fell,abekuczaj,2.4796372347707,male,kuczaj,"scripts,Kuczaj,abe009.cha.txt",fell,3723
PAST,eat,ate,abekuczaj,2.4796372347707,male,kuczaj,"scripts,Kuczaj,abe009.cha.txt",ate,1722
PAST,fall,fell,abekuczaj,2.4796372347707,male,kuczaj,"scripts,Kuczaj,abe009.cha.txt",fell,3723
PAST,eat,ate,abekuczaj,2.4796372347707,male,kuczaj,"scripts,Kuczaj,abe009.cha.txt",ate,1722
PAST,eat,ate,abekuczaj,2.4796372347707,male,kuczaj,"scripts,Kuczaj,abe009.cha.txt",ate,1722
PAST,fall,fell,abekuczaj,2.4796372347707,male,kuczaj,"scripts,Kuczaj,abe009.cha.txt",fell,3723
PAST,see,saw,abekuczaj,2.4878507871321,male,kuczaj,"scripts,Kuczaj,abe010.cha.txt",saw,20527
PAST,eat,ate,abekuczaj,2.4878507871321,male,kuczaj,"scripts,Kuczaj,abe010.cha.txt",ate,1722
PAST,buy,bought,abekuczaj,2.4878507871321,male,kuczaj,"scripts,Kuczaj,abe010.cha.txt",bought,4362
PAST,tell,told,abekuczaj,2.4960643394935,male,kuczaj,"scripts,Kuczaj,abe011.cha.txt",told,35679
PAST,see,saw,abekuczaj,2.45833127994524,male,kuczaj,"scripts,Kuczaj,abe002.cha.txt",saw,20527
SUSPECT,fall,falled,abekuczaj,2.45833127994524,male,kuczaj,"scripts,Kuczaj,abe002.cha.txt",fell,3723
PAST,break,broke,abekuczaj,2.51095140314853,male,kuczaj,"scripts,Kuczaj,abe012.cha.txt",broke,5355
SUSPECT,fall,falled,abekuczaj,2.51095140314853,male,kuczaj,"scripts,Kuczaj,abe012.cha.txt",fell,3723
PAST,make,made,abekuczaj,2.51642710472279,male,kuczaj,"scripts,Kuczaj,abe013.cha.txt",made,28626
PAST,stick,stuck,abekuczaj,2.51642710472279,male,kuczaj,"scripts,Kuczaj,abe013.cha.txt",stuck,3399
SUSPECT,fly,flewed,abekuczaj,2.51642710472279,male,kuczaj,"scripts,Kuczaj,abe013.cha.txt",flew,785
PAST,fly,flew,abekuczaj,2.51642710472279,male,kuczaj,"scripts,Kuczaj,abe013.cha.txt",flew,785
PAST,break,broke,abekuczaj,2.52737850787132,male,kuczaj,"scripts,Kuczaj,abe014.cha.txt",broke,5355
PAST,break,broke,abekuczaj,2.52737850787132,male,kuczaj,"scripts,Kuczaj,abe014.cha.txt",broke,5355
PAST,break,broke,abekuczaj,2.52737850787132,male,kuczaj,"scripts,Kuczaj,abe014.cha.txt",broke,5355
PAST,break,broke,abekuczaj,2.52737850787132,male,kuczaj,"scripts,Kuczaj,abe014.cha.txt",broke,5355
PAST,say,said,abekuczaj,2.52737850787132,male,kuczaj,"scripts,Kuczaj,abe014.cha.txt",said,56531
PAST,say,said,abekuczaj,2.52737850787132,male,kuczaj,"scripts,Kuczaj,abe014.cha.txt",said,56531
PAST,say,said,abekuczaj,2.52737850787132,male,kuczaj,"scripts,Kuczaj,abe014.cha.txt",said,56531
PAST,say,said,abekuczaj,2.52737850787132,male,kuczaj,"scripts,Kuczaj,abe014.cha.txt",said,56531
PAST,sit,sat,abekuczaj,2.53832991101985,male,kuczaj,"scripts,Kuczaj,abe016.cha.txt",sat,1459
PAST,sit,sat,abekuczaj,2.53832991101985,male,kuczaj,"scripts,Kuczaj,abe016.cha.txt",sat,1459
PAST,catch,caught,abekuczaj,2.53832991101985,male,kuczaj,"scripts,Kuczaj,abe016.cha.txt",caught,4791
PAST,say,said,abekuczaj,2.53832991101985,male,kuczaj,"scripts,Kuczaj,abe017.cha.txt",said,56531
PAST,make,made,abekuczaj,2.53832991101985,male,kuczaj,"scripts,Kuczaj,abe017.cha.txt",made,28626
PAST,break,broke,abekuczaj,2.53832991101985,male,kuczaj,"scripts,Kuczaj,abe017.cha.txt",broke,5355
PAST,break,broke,abekuczaj,2.53832991101985,male,kuczaj,"scripts,Kuczaj,abe017.cha.txt",broke,5355
PAST,hear,heard,abekuczaj,2.60249828884326,male,kuczaj,"scripts,Kuczaj,abe021.cha.txt",heard,19775
SUSPECT,fall,felled,abekuczaj,2.60249828884326,male,kuczaj,"scripts,Kuczaj,abe021.cha.txt",fell,3723
PAST,fall,fell,abekuczaj,2.60249828884326,male,kuczaj,"scripts,Kuczaj,abe021.cha.txt",fell,3723
SUSPECT,fall,falled,abekuczaj,2.60249828884326,male,kuczaj,"scripts,Kuczaj,abe021.cha.txt",fell,3723
PAST,hear,heard,abekuczaj,2.60249828884326,male,kuczaj,"scripts,Kuczaj,abe021.cha.txt",heard,19775
SUSPECT,blow,blowed,abekuczaj,2.60249828884326,male,kuczaj,"scripts,Kuczaj,abe021.cha.txt",blew,1610
SUSPECT,blow,blowed,abekuczaj,2.60249828884326,male,kuczaj,"scripts,Kuczaj,abe021.cha.txt",blew,1610
PAST,see,saw,abekuczaj,2.61344969199179,male,kuczaj,"scripts,Kuczaj,abe022.cha.txt",saw,20527
SUSPECT,make,maked,abekuczaj,2.61344969199179,male,kuczaj,"scripts,Kuczaj,abe022.cha.txt",made,28626
PAST,make,made,abekuczaj,2.61344969199179,male,kuczaj,"scripts,Kuczaj,abe022.cha.txt",made,28626
PAST,say,said,abekuczaj,2.61344969199179,male,kuczaj,"scripts,Kuczaj,abe022.cha.txt",said,56531
SUSPECT,see,sawed,abekuczaj,2.61344969199179,male,kuczaj,"scripts,Kuczaj,abe022.cha.txt",saw,20527
PAST,see,saw,abekuczaj,2.61344969199179,male,kuczaj,"scripts,Kuczaj,abe022.cha.txt",saw,20527
PAST,see,saw,abekuczaj,2.61344969199179,male,kuczaj,"scripts,Kuczaj,abe022.cha.txt",saw,20527
PAST,see,saw,abekuczaj,2.61344969199179,male,kuczaj,"scripts,Kuczaj,abe022.cha.txt",saw,20527
PAST,ride,rode,abekuczaj,2.62166324435318,male,kuczaj,"scripts,Kuczaj,abe023.cha.txt",rode,530
PAST,see,saw,abekuczaj,2.62166324435318,male,kuczaj,"scripts,Kuczaj,abe023.cha.txt",saw,20527
SUSPECT,feel,feeled,abekuczaj,2.62440109514031,male,kuczaj,"scripts,Kuczaj,abe024.cha.txt",felt,6111
SUSPECT,make,maked,abekuczaj,2.63261464750171,male,kuczaj,"scripts,Kuczaj,abe025.cha.txt",made,28626
PAST,make,made,abekuczaj,2.63261464750171,male,kuczaj,"scripts,Kuczaj,abe025.cha.txt",made,28626
PAST,break,broke,abekuczaj,2.65451745379877,male,kuczaj,"scripts,Kuczaj,abe026.cha.txt",broke,5355
